OrderID,CustomerName,Email,OrderDate,Geometric Hoops,Minimalist Studs,Boho Dangles,Pearl Drops,Silver Threaders,TotalOrderValue
0125,Customer 164,customer164@example.com,2020-01-01,2,0,0,3,3,98
0392,Customer 122,customer122@example.com,2020-01-06,0,0,2,2,3,87
0436,Customer 58,customer58@example.com,2020-01-07,0,1,3,1,3,92
0495,Customer 191,customer191@example.com,2020-01-09,3,0,1,0,0,42
0313,Customer 278,customer278@example.com,2020-01-10,2,1,0,3,3,106
0761,Customer 32,customer32@example.com,2020-01-13,2,1,2,1,2,89
0370,Customer 179,customer179@example.com,2020-01-14,2,1,3,0,1,75
0071,Customer 129,customer129@example.com,2020-01-14,1,0,1,0,2,44
0842,Customer 143,customer143@example.com,2020-01-16,2,2,1,1,3,96
0249,Customer 270,customer270@example.com,2020-01-16,1,0,1,2,3,85
0420,Customer 108,customer108@example.com,2020-01-16,1,0,0,3,2,77
0779,Customer 226,customer226@example.com,2020-01-16,2,3,0,0,0,44
0139,Customer 157,customer157@example.com,2020-01-17,1,0,1,1,0,37
0826,Customer 77,customer77@example.com,2020-01-17,1,2,2,1,3,98
0626,Customer 87,customer87@example.com,2020-01-18,0,0,3,1,3,84
0027,Customer 134,customer134@example.com,2020-01-19,1,0,1,3,0,67
0286,Customer 56,customer56@example.com,2020-01-21,3,3,1,3,0,111
0924,Customer 69,customer69@example.com,2020-01-21,3,1,2,1,0,77
0845,Customer 263,customer263@example.com,2020-01-21,3,2,1,3,3,136
0876,Customer 182,customer182@example.com,2020-01-25,3,1,1,1,2,87
0023,Customer 168,customer168@example.com,2020-01-25,1,2,3,0,1,73
0570,Customer 181,customer181@example.com,2020-01-26,0,2,1,3,3,106
0604,Customer 26,customer26@example.com,2020-01-26,2,3,0,2,2,96
0605,Customer 121,customer121@example.com,2020-01-27,3,3,2,1,0,93
0282,Customer 38,customer38@example.com,2020-01-29,0,0,1,3,0,57
0681,Customer 119,customer119@example.com,2020-01-29,2,0,2,1,3,92
0688,Customer 238,customer238@example.com,2020-01-29,0,0,3,2,1,77
0358,Customer 106,customer106@example.com,2020-01-31,0,0,0,3,3,78
0556,Customer 108,customer108@example.com,2020-01-31,0,2,3,1,3,100
0740,Customer 145,customer145@example.com,2020-01-31,3,1,2,3,2,129
0489,Customer 228,customer228@example.com,2020-02-01,1,1,1,2,3,93
0450,Customer 192,customer192@example.com,2020-02-05,3,3,0,1,3,102
0753,Customer 18,customer18@example.com,2020-02-07,2,1,3,2,2,116
0466,Customer 97,customer97@example.com,2020-02-08,2,3,2,2,1,109
0205,Customer 78,customer78@example.com,2020-02-09,1,0,0,3,1,66
0047,Customer 134,customer134@example.com,2020-02-11,3,2,1,3,3,136
0146,Customer 276,customer276@example.com,2020-02-14,2,3,0,1,1,70
0411,Customer 65,customer65@example.com,2020-02-15,2,0,2,2,1,85
0334,Customer 228,customer228@example.com,2020-02-16,2,3,0,1,3,92
0557,Customer 265,customer265@example.com,2020-02-16,2,3,1,3,1,112
0437,Customer 198,customer198@example.com,2020-02-18,2,2,0,2,1,77
0317,Customer 97,customer97@example.com,2020-02-18,0,3,0,2,0,54
0235,Customer 123,customer123@example.com,2020-02-18,2,3,1,3,3,134
0635,Customer 46,customer46@example.com,2020-02-19,2,0,1,2,1,73
0887,Customer 181,customer181@example.com,2020-02-22,3,2,2,2,1,111
0997,Customer 85,customer85@example.com,2020-02-22,0,1,2,1,3,80
0035,Customer 112,customer112@example.com,2020-02-24,1,3,2,3,0,103
0448,Customer 109,customer109@example.com,2020-02-25,2,0,2,1,0,59
0814,Customer 13,customer13@example.com,2020-02-26,2,0,1,0,2,54
0561,Customer 271,customer271@example.com,2020-02-27,2,2,3,0,0,72
0908,Customer 98,customer98@example.com,2020-02-28,0,3,2,1,0,63
0806,Customer 140,customer140@example.com,2020-02-29,0,1,1,1,1,46
0545,Customer 101,customer101@example.com,2020-03-02,1,0,0,0,1,21
0511,Customer 114,customer114@example.com,2020-03-02,3,2,0,1,3,94
0990,Customer 10,customer10@example.com,2020-03-03,3,3,1,1,3,114
0697,Customer 4,customer4@example.com,2020-03-04,3,0,3,2,0,96
0281,Customer 253,customer253@example.com,2020-03-04,3,2,1,3,0,103
0289,Customer 85,customer85@example.com,2020-03-06,2,3,0,1,2,81
0187,Customer 7,customer7@example.com,2020-03-06,0,1,0,1,1,34
0463,Customer 79,customer79@example.com,2020-03-06,3,0,1,0,2,64
0391,Customer 247,customer247@example.com,2020-03-07,1,0,3,3,3,124
0944,Customer 247,customer247@example.com,2020-03-07,2,2,1,0,1,59
0457,Customer 87,customer87@example.com,2020-03-08,1,2,0,1,0,41
0122,Customer 267,customer267@example.com,2020-03-08,2,1,3,0,3,97
0774,Customer 213,customer213@example.com,2020-03-09,0,2,3,0,1,63
0728,Customer 236,customer236@example.com,2020-03-09,0,2,0,1,0,31
0001,Customer 150,customer150@example.com,2020-03-09,2,3,3,3,2,147
0643,Customer 44,customer44@example.com,2020-03-10,0,0,1,0,0,12
0153,Customer 122,customer122@example.com,2020-03-14,2,2,2,3,1,116
0509,Customer 127,customer127@example.com,2020-03-15,1,1,3,3,0,99
0922,Customer 76,customer76@example.com,2020-03-15,1,2,3,1,1,88
